[baseline].syntagma,[baseline].stemmed,[baseline].scope,[baseline].occur_syntagma_all,[baseline].occur_repl_uniq,[baseline].occur_repl_exhausted,[baseline].occur_redu_uniq,[baseline].occur_redu_exhausted,[baseline].occur_full_syn_repl,[baseline].occur_full_syn_redu,[document].doc_id,[document].redufree_len,[word].normalized_word,[word].rle_word,[word].stemmed,[word].pos,[word].polarity,[repl].id,[repl].index_in_corpus,[repl].index_in_redufree,[repl].repl_letter,[repl].repl_length,[repl].index_of_repl,[repl].in_redu,[redu].id,[redu].index_in_corpus,[redu].index_in_redufree,[redu].orig_words,[redu].redu_length,[context].contextL5,[context].context_infoL5,[context].contextL4,[context].context_infoL4,[context].contextL3,[context].context_infoL3,[context].contextL2,[context].context_infoL2,[context].contextL1,[context].context_infoL1
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,6666,"[3, 9]",but,bu^5t,but,NNP,"[""neutral"", 0.0]",51,"[1, 1]","[1, 0]",u,5,1,"[1, 0]",12,"[1, 0]","[1, 0]","{""bu^5t"": 1, ""b^5ut"": 1}",2,,,,,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,5555,"[8, 2, 11, 4]",you,y^6ou,you,NN,"[""neutral"", 0.0]",40,"[3, 2]","[3, 1]",y,6,0,"[3, 1]",9,"[3, 2]","[3, 1]","{""yo^6u"": 1, ""y^6ou"": 1}",2,1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,5555,"[8, 2, 11, 4]",you,yo^6u,you,NN,"[""neutral"", 0.0]",41,"[3, 3]","[3, 1]",o,6,1,"[3, 1]",9,"[3, 2]","[3, 1]","{""yo^6u"": 1, ""y^6ou"": 1}",2,1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,6666,"[3, 9]",you,y^6ou,you,JJ,"[""neutral"", 0.0]",52,"[1, 2]","[1, 1]",y,6,0,"[1, 1]",13,"[1, 2]","[1, 1]","{""yo^6u"": 1, ""y^6ou"": 1}",2,,,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,6666,"[3, 9]",you,yo^6u,you,JJ,"[""neutral"", 0.0]",53,"[1, 3]","[1, 1]",o,6,1,"[1, 1]",13,"[1, 2]","[1, 1]","{""yo^6u"": 1, ""y^6ou"": 1}",2,,,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,5555,"[8, 2, 11, 4]",but,b^6ut,but,FW,"[""neutral"", 0.0]",42,"[3, 4]","[3, 2]",b,6,0,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,5555,"[8, 2, 11, 4]",but,b^5ut^4,but,FW,"[""neutral"", 0.0]",43,"[3, 5]","[3, 2]",b,5,0,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,5555,"[8, 2, 11, 4]",but,b^5ut^4,but,FW,"[""neutral"", 0.0]",44,"[3, 5]","[3, 2]",t,4,2,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,5555,"[8, 2, 11, 4]",but,b^5u^5t,but,FW,"[""neutral"", 0.0]",45,"[3, 6]","[3, 2]",b,5,0,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,5555,"[8, 2, 11, 4]",but,b^5u^5t,but,FW,"[""neutral"", 0.0]",46,"[3, 6]","[3, 2]",u,5,1,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,6666,"[3, 9]",but,b^6ut,but,CC,"[""neutral"", 0.0]",54,"[1, 4]","[1, 2]",b,6,0,"[1, 2]",14,"[1, 4]","[1, 2]","{""b^6ut"": 1, ""b^5ut"": 2}",3,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,6666,"[3, 9]",but,b^5ut,but,CC,"[""neutral"", 0.0]",55,"[1, 5]","[1, 2]",b,5,0,"[1, 2]",14,"[1, 4]","[1, 2]","{""b^6ut"": 1, ""b^5ut"": 2}",3,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,6666,"[3, 9]",but,b^5ut,but,CC,"[""neutral"", 0.0]",56,"[1, 6]","[1, 2]",b,5,0,"[1, 2]",14,"[1, 4]","[1, 2]","{""b^6ut"": 1, ""b^5ut"": 2}",3,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,5555,"[8, 2, 11, 4]",you,y^3o^2u^4,you,FW,"[""neutral"", 0.0]",47,"[3, 7]","[3, 3]",y,3,0,,,,,,,1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]",but,"[""FW"", {""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}, ""but""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,5555,"[8, 2, 11, 4]",you,y^3o^2u^4,you,FW,"[""neutral"", 0.0]",48,"[3, 7]","[3, 3]",u,4,2,,,,,,,1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]",but,"[""FW"", {""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}, ""but""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,6666,"[3, 9]",you,y^3o^2u^4,you,VBD,"[""neutral"", 0.0]",57,"[1, 7]","[1, 3]",y,3,0,,,,,,,surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]",but,"[""CC"", {""b^6ut"": 1, ""b^5ut"": 2}, ""but""]"
but || you || but || you,but || you || but || you,4,2,"[10, 6, ""IGNOR"", ""IGNOR""]","[15, 8, ""IGNOR"", ""IGNOR""]",,,2,,6666,"[3, 9]",you,y^3o^2u^4,you,VBD,"[""neutral"", 0.0]",58,"[1, 7]","[1, 3]",u,4,2,,,,,,,surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]",but,"[""CC"", {""b^6ut"": 1, ""b^5ut"": 2}, ""but""]"
bad,bad,1,6,4,7,1,5,4,1,3333,[15],bad,bad^5,bad,JJ,"[""negative"", -0.7249999999999999]",14,"[0, 1]","[0, 1]",d,5,2,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
bad,bad,1,6,4,7,1,5,4,1,3333,[15],bad,b^7a^6d,bad,JJ,"[""negative"", -0.7249999999999999]",15,"[0, 3]","[0, 1]",b,7,0,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
bad,bad,1,6,4,7,1,5,4,1,3333,[15],bad,b^7a^6d,bad,JJ,"[""negative"", -0.7249999999999999]",16,"[0, 3]","[0, 1]",a,6,1,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
bad,bad,1,6,4,7,1,5,4,1,3333,[15],bad,b^4a^4d^5,bad,JJ,"[""negative"", -0.7249999999999999]",17,"[0, 4]","[0, 1]",b,4,0,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
bad,bad,1,6,4,7,1,5,4,1,3333,[15],bad,b^4a^4d^5,bad,JJ,"[""negative"", -0.7249999999999999]",18,"[0, 4]","[0, 1]",a,4,1,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
bad,bad,1,6,4,7,1,5,4,1,3333,[15],bad,b^4a^4d^5,bad,JJ,"[""negative"", -0.7249999999999999]",19,"[0, 4]","[0, 1]",d,5,2,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
bad,bad,1,6,4,7,1,5,4,1,3333,[15],bad,ba^7d,bad,JJ,"[""negative"", -0.7249999999999999]",20,"[0, 5]","[0, 1]",a,7,1,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
😫 || :-(,😫 || :-(,2,1,"[1, 1]","[1, 1]",,,1,,3333,[15],😫,😫^12,😫,EMOIMG,"[""negative"", -0.7249999999999999]",22,"[0, 15]","[0, 11]",😫,12,0,,,,,,,can,"[""MD"", null, ""can""]",not,"[""RB"", null, ""not""]",acept,"[""VB"", null, ""acept""]",.,"[""symbol"", null, "".""]",-(,"[""EMOASC"", null, ""-(""]"
😫 || :-(,😫 || :-(,2,1,"[1, 1]","[1, 1]",,,1,,3333,[15],:-(,:-(^5,:-(,EMOASC,"[""negative"", -0.7249999999999999]",23,"[0, 16]","[0, 12]",(,5,2,,,,,,,not,"[""RB"", null, ""not""]",acept,"[""VB"", null, ""acept""]",.,"[""symbol"", null, "".""]",-(,"[""EMOASC"", null, ""-(""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]"
? || 1 || 😫 || 1,? || 1 || 😫 || 1,4,1,"[1, 2, 1, ""IGNOR""]","[1, 2, 1, ""IGNOR""]",,,1,,5555,"[8, 2, 11, 4]",?,?^4,?,symbol,"[""neutral"", 0.0]",31,"[2, 6]","[2, 6]",?,4,0,,,,,,,do,"[""VBP"", null, ""do""]",you,"[""PRP"", null, ""you""]",think,"[""VB"", null, ""think""]",about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]"
? || 1 || 😫 || 1,? || 1 || 😫 || 1,4,1,"[1, 2, 1, ""IGNOR""]","[1, 2, 1, ""IGNOR""]",,,1,,5555,"[8, 2, 11, 4]",1,1^6,1,number,"[""neutral"", 0.0]",32,"[2, 7]","[2, 7]",1,6,0,,,,,,,you,"[""PRP"", null, ""you""]",think,"[""VB"", null, ""think""]",about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]",?,"[""symbol"", null, ""?""]"
? || 1 || 😫 || 1,? || 1 || 😫 || 1,4,1,"[1, 2, 1, ""IGNOR""]","[1, 2, 1, ""IGNOR""]",,,1,,5555,"[8, 2, 11, 4]",😫,😫^4,😫,EMOIMG,"[""neutral"", 0.0]",33,"[2, 8]","[2, 8]",😫,4,0,,,,,,,think,"[""VB"", null, ""think""]",about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]",?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]"
? || 1 || 😫 || 1,? || 1 || 😫 || 1,4,1,"[1, 2, 1, ""IGNOR""]","[1, 2, 1, ""IGNOR""]",,,1,,5555,"[8, 2, 11, 4]",1,1^8,1,number,"[""neutral"", 0.0]",34,"[2, 9]","[2, 9]",1,8,0,,,,,,,about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]",?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]"
but,but,1,13,11,16,4,10,11,4,7777,[19],but,bu^10t,but,MD,"[""positive"", 0.27]",65,"[0, 9]","[0, 9]",u,10,1,,,,,,,surprise,"[""NN"", null, ""surpris""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^6ut,but,FW,"[""neutral"", 0.0]",42,"[3, 4]","[3, 2]",b,6,0,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5ut^4,but,FW,"[""neutral"", 0.0]",43,"[3, 5]","[3, 2]",b,5,0,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5ut^4,but,FW,"[""neutral"", 0.0]",44,"[3, 5]","[3, 2]",t,4,2,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^5t,but,FW,"[""neutral"", 0.0]",45,"[3, 6]","[3, 2]",b,5,0,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^5t,but,FW,"[""neutral"", 0.0]",46,"[3, 6]","[3, 2]",u,5,1,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^4t^4,but,NNP,"[""neutral"", 0.0]",35,"[3, 0]","[3, 0]",b,5,0,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^4t^4,but,NNP,"[""neutral"", 0.0]",36,"[3, 0]","[3, 0]",u,4,1,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^4t^4,but,NNP,"[""neutral"", 0.0]",37,"[3, 0]","[3, 0]",t,4,2,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,bu^5t^4,but,NNP,"[""neutral"", 0.0]",38,"[3, 1]","[3, 0]",u,5,1,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,bu^5t^4,but,NNP,"[""neutral"", 0.0]",39,"[3, 1]","[3, 0]",t,4,2,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,6666,"[3, 9]",but,b^5ut,but,NNP,"[""neutral"", 0.0]",50,"[1, 0]","[1, 0]",b,5,0,"[1, 0]",12,"[1, 0]","[1, 0]","{""bu^5t"": 1, ""b^5ut"": 1}",2,,,,,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,6666,"[3, 9]",but,bu^5t,but,NNP,"[""neutral"", 0.0]",51,"[1, 1]","[1, 0]",u,5,1,"[1, 0]",12,"[1, 0]","[1, 0]","{""bu^5t"": 1, ""b^5ut"": 1}",2,,,,,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,6666,"[3, 9]",but,b^6ut,but,CC,"[""neutral"", 0.0]",54,"[1, 4]","[1, 2]",b,6,0,"[1, 2]",14,"[1, 4]","[1, 2]","{""b^6ut"": 1, ""b^5ut"": 2}",3,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,6666,"[3, 9]",but,b^5ut,but,CC,"[""neutral"", 0.0]",55,"[1, 5]","[1, 2]",b,5,0,"[1, 2]",14,"[1, 4]","[1, 2]","{""b^6ut"": 1, ""b^5ut"": 2}",3,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,6666,"[3, 9]",but,b^5ut,but,CC,"[""neutral"", 0.0]",56,"[1, 6]","[1, 2]",b,5,0,"[1, 2]",14,"[1, 4]","[1, 2]","{""b^6ut"": 1, ""b^5ut"": 2}",3,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
😀 || 🌈 || 😀 || 🌈,😀 || 🌈 || 😀 || 🌈,4,1,"[2, 2, ""IGNOR"", ""IGNOR""]","[2, 2, ""IGNOR"", ""IGNOR""]",,,1,,6666,"[3, 9]",😀,😀^5,😀,EMOIMG,"[""neutral"", 0.0]",59,"[1, 8]","[1, 4]",😀,5,0,,,,,,,.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]",but,"[""CC"", {""b^6ut"": 1, ""b^5ut"": 2}, ""but""]",you,"[""VBD"", null, ""you""]"
😀 || 🌈 || 😀 || 🌈,😀 || 🌈 || 😀 || 🌈,4,1,"[2, 2, ""IGNOR"", ""IGNOR""]","[2, 2, ""IGNOR"", ""IGNOR""]",,,1,,6666,"[3, 9]",🌈,🌈^7,🌈,EMOIMG,"[""neutral"", 0.0]",60,"[1, 9]","[1, 5]",🌈,7,0,,,,,,,but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]",but,"[""CC"", {""b^6ut"": 1, ""b^5ut"": 2}, ""but""]",you,"[""VBD"", null, ""you""]",😀,"[""EMOIMG"", null, ""\ud83d\ude00""]"
