[baseline].syntagma,[baseline].stemmed,[baseline].scope,[baseline].occur_syntagma_all,[baseline].occur_repl_uniq,[baseline].occur_repl_exhausted,[baseline].occur_redu_uniq,[baseline].occur_redu_exhausted,[baseline].occur_full_syn_repl,[baseline].occur_full_syn_redu,[document].doc_id,[document].redufree_len,[word].normalized_word,[word].rle_word,[word].stemmed,[word].pos,[word].polarity,[repl].id,[repl].index_in_corpus,[repl].index_in_redufree,[repl].repl_letter,[repl].repl_length,[repl].index_of_repl,[repl].in_redu,[redu].id,[redu].index_in_corpus,[redu].index_in_redufree,[redu].orig_words,[redu].redu_length,[context].contextL5,[context].context_infoL5,[context].contextL4,[context].context_infoL4,[context].contextL3,[context].context_infoL3,[context].contextL2,[context].context_infoL2,[context].contextL1,[context].context_infoL1
. || but || it || was || also || very,. || but || it || was || also || veri,6,1,"[0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 4]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 3]",,,1111,"[4, 14]",very,ver^4y^5,veri,JJ,"[""negative"", -0.1875]",2,"[1, 4]","[1, 4]",y,5,3,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
. || but || it || was || also || very,. || but || it || was || also || veri,6,1,"[0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 4]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 3]",,,1111,"[4, 14]",very,v^3er^8y,veri,JJ,"[""negative"", -0.1875]",3,"[1, 5]","[1, 4]",v,3,0,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
. || but || it || was || also || very,. || but || it || was || also || veri,6,1,"[0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 4]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 3]",,,1111,"[4, 14]",very,v^3er^8y,veri,JJ,"[""negative"", -0.1875]",4,"[1, 5]","[1, 4]",r,8,2,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
", || but || a || big",", || but || a || big",4,1,,,"[0, 0, 0, 1]","[0, 0, 0, 3]",,,5555,"[8, 2, 11, 4]",big,,big,JJ,"[""neutral"", 0.0]",,,,,,,,7,"[0, 5]","[0, 5]","{""big"": 3}",3,tiny,"[""JJ"", null, ""tini""]",model,"[""NN"", null, ""model""]",",","[""symbol"", null, "",""]",but,"[""CC"", null, ""but""]",a,"[""DT"", null, ""a""]"
", || but || a || big",", || but || a || big",4,1,,,"[0, 0, 0, 1]","[0, 0, 0, 3]",,,5555,"[8, 2, 11, 4]",big,,big,JJ,"[""neutral"", 0.0]",,,,,,,,7,"[0, 5]","[0, 5]","{""big"": 3}",3,tiny,"[""JJ"", null, ""tini""]",model,"[""NN"", null, ""model""]",",","[""symbol"", null, "",""]",but,"[""CC"", null, ""but""]",a,"[""DT"", null, ""a""]"
😫 || :-( || #shetlife,😫 || :-( || #shetlif,3,1,"[1, 1, 0]","[1, 1, 0]","[0, 0, 1]","[0, 0, 2]",,,3333,[15],😫,😫^12,😫,EMOIMG,"[""negative"", -0.7249999999999999]",22,"[0, 15]","[0, 11]",😫,12,0,,,,,,,can,"[""MD"", null, ""can""]",not,"[""RB"", null, ""not""]",acept,"[""VB"", null, ""acept""]",.,"[""symbol"", null, "".""]",-(,"[""EMOASC"", null, ""-(""]"
😫 || :-( || #shetlife,😫 || :-( || #shetlif,3,1,"[1, 1, 0]","[1, 1, 0]","[0, 0, 1]","[0, 0, 2]",,,3333,[15],:-(,:-(^5,:-(,EMOASC,"[""negative"", -0.7249999999999999]",23,"[0, 16]","[0, 12]",(,5,2,,,,,,,not,"[""RB"", null, ""not""]",acept,"[""VB"", null, ""acept""]",.,"[""symbol"", null, "".""]",-(,"[""EMOASC"", null, ""-(""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]"
😫 || :-( || #shetlife,😫 || :-( || #shetlif,3,1,"[1, 1, 0]","[1, 1, 0]","[0, 0, 1]","[0, 0, 2]",,,3333,[15],#shetlife,,#shetlif,hashtag,"[""negative"", -0.7249999999999999]",,,,,,,,4,"[0, 17]","[0, 13]","{""#shetlife"": 2}",2,acept,"[""VB"", null, ""acept""]",.,"[""symbol"", null, "".""]",-(,"[""EMOASC"", null, ""-(""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",:-(,"[""EMOASC"", null, "":-(""]"
also || very || pity || for || me,also || veri || piti || for || me,5,1,"[0, 2, 2, 0, 0]","[0, 4, 4, 0, 0]","[0, 1, 1, 0, 0]","[0, 3, 4, 0, 0]",,,1111,"[4, 14]",very,ver^4y^5,veri,JJ,"[""negative"", -0.1875]",1,"[1, 4]","[1, 4]",r,4,2,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
also || very || pity || for || me,also || veri || piti || for || me,5,1,"[0, 2, 2, 0, 0]","[0, 4, 4, 0, 0]","[0, 1, 1, 0, 0]","[0, 3, 4, 0, 0]",,,1111,"[4, 14]",very,ver^4y^5,veri,JJ,"[""negative"", -0.1875]",2,"[1, 4]","[1, 4]",y,5,3,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
also || very || pity || for || me,also || veri || piti || for || me,5,1,"[0, 2, 2, 0, 0]","[0, 4, 4, 0, 0]","[0, 1, 1, 0, 0]","[0, 3, 4, 0, 0]",,,1111,"[4, 14]",very,v^3er^8y,veri,JJ,"[""negative"", -0.1875]",3,"[1, 5]","[1, 4]",v,3,0,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
also || very || pity || for || me,also || veri || piti || for || me,5,1,"[0, 2, 2, 0, 0]","[0, 4, 4, 0, 0]","[0, 1, 1, 0, 0]","[0, 3, 4, 0, 0]",,,1111,"[4, 14]",very,v^3er^8y,veri,JJ,"[""negative"", -0.1875]",4,"[1, 5]","[1, 4]",r,8,2,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
also || very || pity || for || me,also || veri || piti || for || me,5,1,"[0, 2, 2, 0, 0]","[0, 4, 4, 0, 0]","[0, 1, 1, 0, 0]","[0, 3, 4, 0, 0]",,,1111,"[4, 14]",pity,pi^9ty,piti,JJ,"[""negative"", -0.1875]",5,"[1, 7]","[1, 5]",i,9,1,"[1, 5]",2,"[1, 7]","[1, 5]","{""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}",4,but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]"
also || very || pity || for || me,also || veri || piti || for || me,5,1,"[0, 2, 2, 0, 0]","[0, 4, 4, 0, 0]","[0, 1, 1, 0, 0]","[0, 3, 4, 0, 0]",,,1111,"[4, 14]",pity,pi^3t^3y^3,piti,JJ,"[""negative"", -0.1875]",6,"[1, 10]","[1, 5]",i,3,1,"[1, 5]",2,"[1, 7]","[1, 5]","{""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}",4,but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]"
also || very || pity || for || me,also || veri || piti || for || me,5,1,"[0, 2, 2, 0, 0]","[0, 4, 4, 0, 0]","[0, 1, 1, 0, 0]","[0, 3, 4, 0, 0]",,,1111,"[4, 14]",pity,pi^3t^3y^3,piti,JJ,"[""negative"", -0.1875]",7,"[1, 10]","[1, 5]",t,3,2,"[1, 5]",2,"[1, 7]","[1, 5]","{""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}",4,but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]"
also || very || pity || for || me,also || veri || piti || for || me,5,1,"[0, 2, 2, 0, 0]","[0, 4, 4, 0, 0]","[0, 1, 1, 0, 0]","[0, 3, 4, 0, 0]",,,1111,"[4, 14]",pity,pi^3t^3y^3,piti,JJ,"[""negative"", -0.1875]",8,"[1, 10]","[1, 5]",y,3,3,"[1, 5]",2,"[1, 7]","[1, 5]","{""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}",4,but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]"
but || a || big || explanation || . || right,but || a || big || explan || . || right,6,1,"[0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 3, 0, 0, 0]",,,5555,"[8, 2, 11, 4]",explanation,expla^5nation,explan,NN,"[""neutral"", 0.0]",28,"[0, 8]","[0, 6]",a,5,4,,,,,,,model,"[""NN"", null, ""model""]",",","[""symbol"", null, "",""]",but,"[""CC"", null, ""but""]",a,"[""DT"", null, ""a""]",big,"[""JJ"", {""big"": 3}, ""big""]"
but || a || big || explanation || . || right,but || a || big || explan || . || right,6,1,"[0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 3, 0, 0, 0]",,,5555,"[8, 2, 11, 4]",right,ri^6ght,right,UH,"[""neutral"", 0.0]",29,"[1, 0]","[1, 0]",i,6,1,,,,,,,but,"[""CC"", null, ""but""]",a,"[""DT"", null, ""a""]",big,"[""JJ"", {""big"": 3}, ""big""]",explanation,"[""NN"", null, ""explan""]",.,"[""symbol"", null, "".""]"
but || a || big || explanation || . || right,but || a || big || explan || . || right,6,1,"[0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 3, 0, 0, 0]",,,5555,"[8, 2, 11, 4]",big,,big,JJ,"[""neutral"", 0.0]",,,,,,,,7,"[0, 5]","[0, 5]","{""big"": 3}",3,tiny,"[""JJ"", null, ""tini""]",model,"[""NN"", null, ""model""]",",","[""symbol"", null, "",""]",but,"[""CC"", null, ""but""]",a,"[""DT"", null, ""a""]"
it || was || also || very,it || was || also || veri,4,1,"[0, 0, 0, 2]","[0, 0, 0, 4]","[0, 0, 0, 1]","[0, 0, 0, 3]",,,1111,"[4, 14]",very,ver^4y^5,veri,JJ,"[""negative"", -0.1875]",1,"[1, 4]","[1, 4]",r,4,2,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
it || was || also || very,it || was || also || veri,4,1,"[0, 0, 0, 2]","[0, 0, 0, 4]","[0, 0, 0, 1]","[0, 0, 0, 3]",,,1111,"[4, 14]",very,ver^4y^5,veri,JJ,"[""negative"", -0.1875]",2,"[1, 4]","[1, 4]",y,5,3,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
it || was || also || very,it || was || also || veri,4,1,"[0, 0, 0, 2]","[0, 0, 0, 4]","[0, 0, 0, 1]","[0, 0, 0, 3]",,,1111,"[4, 14]",very,v^3er^8y,veri,JJ,"[""negative"", -0.1875]",3,"[1, 5]","[1, 4]",v,3,0,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
it || was || also || very,it || was || also || veri,4,1,"[0, 0, 0, 2]","[0, 0, 0, 4]","[0, 0, 0, 1]","[0, 0, 0, 3]",,,1111,"[4, 14]",very,v^3er^8y,veri,JJ,"[""negative"", -0.1875]",4,"[1, 5]","[1, 4]",r,8,2,"[1, 4]",1,"[1, 4]","[1, 4]","{""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}",3,.,"[""symbol"", null, "".""]",but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]"
but || a || big || explanation || .,but || a || big || explan || .,5,1,"[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 3, 0, 0]",,,5555,"[8, 2, 11, 4]",explanation,expla^5nation,explan,NN,"[""neutral"", 0.0]",28,"[0, 8]","[0, 6]",a,5,4,,,,,,,model,"[""NN"", null, ""model""]",",","[""symbol"", null, "",""]",but,"[""CC"", null, ""but""]",a,"[""DT"", null, ""a""]",big,"[""JJ"", {""big"": 3}, ""big""]"
but || a || big || explanation || .,but || a || big || explan || .,5,1,"[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 3, 0, 0]",,,5555,"[8, 2, 11, 4]",big,,big,JJ,"[""neutral"", 0.0]",,,,,,,,7,"[0, 5]","[0, 5]","{""big"": 3}",3,tiny,"[""JJ"", null, ""tini""]",model,"[""NN"", null, ""model""]",",","[""symbol"", null, "",""]",but,"[""CC"", null, ""but""]",a,"[""DT"", null, ""a""]"
", || but || i || realy",", || but || i || reali",4,1,"[0, 1, 0, 2]","[0, 1, 0, 4]","[0, 0, 0, 1]","[0, 0, 0, 3]",,,7777,[19],but,bu^10t,but,MD,"[""positive"", 0.27]",65,"[0, 9]","[0, 9]",u,10,1,,,,,,,surprise,"[""NN"", null, ""surpris""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]"
", || but || i || realy",", || but || i || reali",4,1,"[0, 1, 0, 2]","[0, 1, 0, 4]","[0, 0, 0, 1]","[0, 0, 0, 3]",,,7777,[19],realy,real^3y,reali,RB,"[""positive"", 0.27]",66,"[0, 12]","[0, 11]",l,3,3,"[0, 11]",15,"[0, 11]","[0, 11]","{""realy"": 1, ""real^3y"": 1, ""re^5al^4y^3"": 1}",3,me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]",but,"[""MD"", null, ""but""]",i,"[""PRP"", null, ""i""]"
", || but || i || realy",", || but || i || reali",4,1,"[0, 1, 0, 2]","[0, 1, 0, 4]","[0, 0, 0, 1]","[0, 0, 0, 3]",,,7777,[19],realy,re^5al^4y^3,reali,RB,"[""positive"", 0.27]",67,"[0, 13]","[0, 11]",e,5,1,"[0, 11]",15,"[0, 11]","[0, 11]","{""realy"": 1, ""real^3y"": 1, ""re^5al^4y^3"": 1}",3,me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]",but,"[""MD"", null, ""but""]",i,"[""PRP"", null, ""i""]"
", || but || i || realy",", || but || i || reali",4,1,"[0, 1, 0, 2]","[0, 1, 0, 4]","[0, 0, 0, 1]","[0, 0, 0, 3]",,,7777,[19],realy,re^5al^4y^3,reali,RB,"[""positive"", 0.27]",68,"[0, 13]","[0, 11]",l,4,3,"[0, 11]",15,"[0, 11]","[0, 11]","{""realy"": 1, ""real^3y"": 1, ""re^5al^4y^3"": 1}",3,me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]",but,"[""MD"", null, ""but""]",i,"[""PRP"", null, ""i""]"
", || but || i || realy",", || but || i || reali",4,1,"[0, 1, 0, 2]","[0, 1, 0, 4]","[0, 0, 0, 1]","[0, 0, 0, 3]",,,7777,[19],realy,re^5al^4y^3,reali,RB,"[""positive"", 0.27]",69,"[0, 13]","[0, 11]",y,3,4,"[0, 11]",15,"[0, 11]","[0, 11]","{""realy"": 1, ""real^3y"": 1, ""re^5al^4y^3"": 1}",3,me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]",but,"[""MD"", null, ""but""]",i,"[""PRP"", null, ""i""]"
it || ? || 1 || 😫,it || ? || 1 || 😫,4,1,"[0, 1, 1, 1]","[0, 1, 1, 1]",,,,,5555,"[8, 2, 11, 4]",?,?^4,?,symbol,"[""neutral"", 0.0]",31,"[2, 6]","[2, 6]",?,4,0,,,,,,,do,"[""VBP"", null, ""do""]",you,"[""PRP"", null, ""you""]",think,"[""VB"", null, ""think""]",about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]"
it || ? || 1 || 😫,it || ? || 1 || 😫,4,1,"[0, 1, 1, 1]","[0, 1, 1, 1]",,,,,5555,"[8, 2, 11, 4]",1,1^6,1,number,"[""neutral"", 0.0]",32,"[2, 7]","[2, 7]",1,6,0,,,,,,,you,"[""PRP"", null, ""you""]",think,"[""VB"", null, ""think""]",about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]",?,"[""symbol"", null, ""?""]"
it || ? || 1 || 😫,it || ? || 1 || 😫,4,1,"[0, 1, 1, 1]","[0, 1, 1, 1]",,,,,5555,"[8, 2, 11, 4]",😫,😫^4,😫,EMOIMG,"[""neutral"", 0.0]",33,"[2, 8]","[2, 8]",😫,4,0,,,,,,,think,"[""VB"", null, ""think""]",about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]",?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]"
a || big,a || big,2,2,"[0, 2]","[0, 2]","[0, 2]","[0, 5]",,,4444,[13],big,bi^3g,big,NN,"[""neutral"", 0.0]",26,"[0, 15]","[0, 10]",i,3,1,"[0, 10]",6,"[0, 15]","[0, 10]","{""bi^3g"": 1, ""bi^15g"": 1}",2,can,"[""MD"", null, ""can""]",use,"[""VB"", null, ""use""]",for,"[""IN"", null, ""for""]",explain,"[""VB"", null, ""explain""]",a,"[""DT"", null, ""a""]"
a || big,a || big,2,2,"[0, 2]","[0, 2]","[0, 2]","[0, 5]",,,4444,[13],big,bi^15g,big,NN,"[""neutral"", 0.0]",27,"[0, 16]","[0, 10]",i,15,1,"[0, 10]",6,"[0, 15]","[0, 10]","{""bi^3g"": 1, ""bi^15g"": 1}",2,can,"[""MD"", null, ""can""]",use,"[""VB"", null, ""use""]",for,"[""IN"", null, ""for""]",explain,"[""VB"", null, ""explain""]",a,"[""DT"", null, ""a""]"
a || big,a || big,2,2,"[0, 2]","[0, 2]","[0, 2]","[0, 5]",,,5555,"[8, 2, 11, 4]",big,,big,JJ,"[""neutral"", 0.0]",,,,,,,,7,"[0, 5]","[0, 5]","{""big"": 3}",3,tiny,"[""JJ"", null, ""tini""]",model,"[""NN"", null, ""model""]",",","[""symbol"", null, "",""]",but,"[""CC"", null, ""but""]",a,"[""DT"", null, ""a""]"
acept || . || -(,acept || . || -(,3,1,"[0, 0, 1]","[0, 0, 1]",,,,,3333,[15],-(,-(^4,-(,EMOASC,"[""negative"", -0.7249999999999999]",21,"[0, 14]","[0, 10]",(,4,1,,,,,,,we,"[""PRP"", null, ""we""]",can,"[""MD"", null, ""can""]",not,"[""RB"", null, ""not""]",acept,"[""VB"", null, ""acept""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,7777,[19],but,bu^10t,but,MD,"[""positive"", 0.27]",65,"[0, 9]","[0, 9]",u,10,1,,,,,,,surprise,"[""NN"", null, ""surpris""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^6ut,but,FW,"[""neutral"", 0.0]",42,"[3, 4]","[3, 2]",b,6,0,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5ut^4,but,FW,"[""neutral"", 0.0]",43,"[3, 5]","[3, 2]",b,5,0,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5ut^4,but,FW,"[""neutral"", 0.0]",44,"[3, 5]","[3, 2]",t,4,2,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^5t,but,FW,"[""neutral"", 0.0]",45,"[3, 6]","[3, 2]",b,5,0,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^5t,but,FW,"[""neutral"", 0.0]",46,"[3, 6]","[3, 2]",u,5,1,"[3, 2]",10,"[3, 4]","[3, 2]","{""b^6ut"": 1, ""b^5ut^4"": 1, ""b^5u^5t"": 1}",3,😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]",but,"[""NNP"", {""bu^5t^4"": 1, ""b^5u^4t^4"": 1}, ""but""]",you,"[""NN"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^4t^4,but,NNP,"[""neutral"", 0.0]",35,"[3, 0]","[3, 0]",b,5,0,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^4t^4,but,NNP,"[""neutral"", 0.0]",36,"[3, 0]","[3, 0]",u,4,1,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,b^5u^4t^4,but,NNP,"[""neutral"", 0.0]",37,"[3, 0]","[3, 0]",t,4,2,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,bu^5t^4,but,NNP,"[""neutral"", 0.0]",38,"[3, 1]","[3, 0]",u,5,1,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,5555,"[8, 2, 11, 4]",but,bu^5t^4,but,NNP,"[""neutral"", 0.0]",39,"[3, 1]","[3, 0]",t,4,2,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
but,but,1,13,11,16,4,10,11,4,6666,"[3, 9]",but,b^5ut,but,NNP,"[""neutral"", 0.0]",50,"[1, 0]","[1, 0]",b,5,0,"[1, 0]",12,"[1, 0]","[1, 0]","{""bu^5t"": 1, ""b^5ut"": 1}",2,,,,,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]"
